"candidate","parameter","v1_confidence","v1_value","v1_url","v2_confidence","v2_value","v2_evidence_count","v2_cost_usd","v2_latency_ms"
"Schneider Electric","busbar_tap_off_offering","verified","""yes_productized""","https://download.schneider-electric.com/files?p_File_Name=5600BR1201.pdf&p_enDocType=Brochure","verified","""yes_productized""","4","0.18913625","90533"
"Schneider Electric","core_offering","verified","""Schneider Electric offers Powerbus Busway — an overhead busway power distribution system with high-density tap-off units for delivering protected, metered power to IT racks in data centers, positioned as an alternative to rack-mounted PDUs.""","https://download.schneider-electric.com/files?p_File_Name=5600BR1201.pdf&p_enDocType=Brochure","verified","""Schneider Electric provides energy management and automation solutions, offering products, software, and services (including its Energy Management and Industrial Automation businesses) as the global leader in digital transformation of energy management and automation.""","6","0.256278875","75692"
"Schneider Electric","headcount","inferred","{""as_of"":""2023-12-31"",""value"":168000}","","verified","{""as_of"":""2024-12-31"",""value"":""177,000""}","4","0.100399875","24635"
"Schneider Electric","hyperscaler_reference_wins","inferred","[""Equinix (HK1, liquid cooling deployment)"",""Google (anchor tenant at TeraWulf Lake Mariner campus)""]","https://equinix.mediaroom.com/2025-09-10-Equinix,-Dell-Technologies-and-Schneider-Electric-Support-AI-Infrastructure-in-Hong-Kong","unknown","null","8","0.294902875","139060"
"Schneider Electric","latest_material_event","unknown","null","","unknown","null","7","0.1277185","66626"
"Schneider Electric","legal_name","verified","""Schneider Electric SE""","","verified","""Schneider Electric SE""","3","0.0335885","21953"
"Schneider Electric","pricing_disclosure","inferred","{""notes"":""Powerbus Busway brochure and corporate materials describe product configuration and channel-based sales but do not publish list prices; pricing is quoted via direct sales / channel partners."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","https://download.schneider-electric.com/files?p_File_Name=5600BR1201.pdf&p_enDocType=Brochure","inferred","{""notes"":""Product pages direct buyers to 'Contact Sales' or an APC sales representative for products such as NetShelter Rack PDUs, with no prices or ranges listed; qualifies as opaque under contact-sales evidence."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","4","0.12288425","88385"
"Schneider Electric","rd_capacity","unknown","null","","unknown","null","6","0.219618375","42930"
"Schneider Electric","sales_cycle_length","inferred","""months to quarters (data center infrastructure project sale)""","","unknown","null","6","0.1999125","83739"
"Schneider Electric","server_oem_integrator_relationships","inferred","[""Lenovo""]","https://www.prnewswire.com/news-releases/schneider-electric-extends-strategic-partnerships-with-aveva-lenovo-and-stratus-to-enable-itot-convergence-301078656.html","unknown","null","7","0.288422375","219268"
"Vertiv Holdings","busbar_tap_off_offering","verified","""yes_productized""","https://www.prnewswire.com/news-releases/vertiv-announces-scalable-high-capacity-double-stack-busway-system-that-preserves-white-space-for-growing-ai-data-center-demands-302702423.html","verified","""yes_productized""","4","0.11933725","31785"
"Vertiv Holdings","core_offering","verified","""Vertiv's PowerIT/Geist line delivers rack-mounted power distribution units — from basic to monitored, switched, and engineered-to-order intelligent rack PDUs — for data center rack-level power distribution, metering, and monitoring.""","https://www.vertiv.com/en-anz/products-catalog/critical-power/power-distribution/vertiv-monitored-rack-pdu/","verified","""Vertiv provides critical digital infrastructure solutions for data centers, including rack power distribution units (PDUs) with monitoring and management (e.g., MPX, MPH2, PowerIT), racks and enclosures (e.g., VE Rack, SmartCabinet), integrated infrastructure solutions (SmartRow, SmartAisle), and DCIM/remote monitoring and management platforms (Avocent, Liebert, Trellis).""","4","0.113163125","41777"
"Vertiv Holdings","headcount","inferred","{""as_of"":""2024-12-31"",""value"":30000}","","unknown","null","6","0.218397375","71670"
"Vertiv Holdings","hyperscaler_reference_wins","unknown","null","","unknown","null","8","0.27559725","53977"
"Vertiv Holdings","latest_material_event","unknown","null","","verified","{""date"":""2026-07-01"",""description"":""Vertiv Increases Manufacturing Capacity with New Facility in Malaysia, to Support Growing Demand for AI and Digital Infrastructure Across Asia""}","6","0.10499462500000001","39788"
"Vertiv Holdings","legal_name","verified","""Vertiv Holdings Co""","","verified","""Vertiv Holdings Co""","4","0.0360585","28881"
"Vertiv Holdings","pricing_disclosure","inferred","{""notes"":""Vertiv rack PDU product pages and engineered-to-order data sheets describe configurations and features but do not publish list pricing; pricing is quoted via channel/distribution partners and direct sales."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","https://www.vertiv.com/49794e/globalassets/products/critical-power/power-distribution/vertiv-geist-custom-rack-pdus-data-sheet.pdf","inferred","{""notes"":""Vertiv's product pages direct buyers to 'Find Sales Contact,' request a quote, or contact a reseller/representative rather than listing prices, with no numeric price or range disclosed for rack PDUs."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","4","0.10437012500000001","31749"
"Vertiv Holdings","rd_capacity","inferred","""Vertiv is a NYSE-listed global critical-infrastructure vendor whose 2024 10-K and 2025 Annual Report document a broad power/thermal/IT product portfolio and continued investment in engineering and manufacturing capacity, including a new North American infrastructure solutions manufacturing facility.""","https://investors.vertiv.com/news/news-details/2024/Vertiv-Expands-North-American-Production-Capacity-with-New-Infrastructure-Solutions-Manufacturing-Facility/default.aspx","verified","""Vertiv reported R&D spend of $441.7 million for fiscal year 2025 (per SEC filing), and its engineering, research and development (ER&D) spend grew 8% year-over-year in 2023, supported by dedicated R&D facilities within its Ohio operations.""","5","0.10221637500000001","28078"
"Vertiv Holdings","sales_cycle_length","inferred","""Weeks to several months (project-based B2B; longer for engineered-to-order and hyperscale deployments)""","","unknown","null","6","0.172213375","47740"
"Vertiv Holdings","server_oem_integrator_relationships","inferred","[""NVIDIA""]","https://www.prnewswire.com/news-releases/from-vision-to-readiness-vertiv-collaborates-with-nvidia-to-advance-800-vdc-platform-designs-to-power-the-next-generation-of-ai-factories-302582190.html","unknown","null","7","0.24854925","63367"
