"candidate","parameter","v1_confidence","v1_value","v1_url","v2_confidence","v2_value","v2_evidence_count","v2_cost_usd","v2_latency_ms"
"Vertiv Holdings","busbar_tap_off_offering","verified","""yes_productized""","https://www.prnewswire.com/news-releases/vertiv-announces-scalable-high-capacity-double-stack-busway-system-that-preserves-white-space-for-growing-ai-data-center-demands-302702423.html","verified","""yes_productized""","4","0.12641512500000002","12770"
"Vertiv Holdings","core_offering","verified","""Vertiv's PowerIT/Geist line delivers rack-mounted power distribution units — from basic to monitored, switched, and engineered-to-order intelligent rack PDUs — for data center rack-level power distribution, metering, and monitoring.""","https://www.vertiv.com/en-anz/products-catalog/critical-power/power-distribution/vertiv-monitored-rack-pdu/","verified","""Vertiv provides critical digital infrastructure products for data centers, including rack power distribution units (PDUs) such as the MPX Adaptive Rack PDU and MPH2 Managed Rack PDU, along with racks, enclosures, DCIM/monitoring solutions, and integrated data center white space solutions like SmartCabinet and SmartAisle.""","4","0.10492837499999999","17433"
"Vertiv Holdings","headcount","inferred","{""as_of"":""2024-12-31"",""value"":30000}","","unknown","null","6","0.172967875","1050788"
"Vertiv Holdings","hyperscaler_reference_wins","unknown","null","","unknown","null","8","0.22028437499999998","949549"
"Vertiv Holdings","latest_material_event","unknown","null","","verified","{""date"":""2026-07-01"",""description"":""Vertiv increased its manufacturing capacity with a new facility in Malaysia to support growing demand for AI and digital infrastructure across Asia.""}","5","0.10423837500000002","937727"
"Vertiv Holdings","legal_name","verified","""Vertiv Holdings Co""","","verified","""Vertiv Holdings Co""","3","0.034258875","1032145"
"Vertiv Holdings","pricing_disclosure","inferred","{""notes"":""Vertiv rack PDU product pages and engineered-to-order data sheets describe configurations and features but do not publish list pricing; pricing is quoted via channel/distribution partners and direct sales."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","https://www.vertiv.com/49794e/globalassets/products/critical-power/power-distribution/vertiv-geist-custom-rack-pdus-data-sheet.pdf","inferred","{""notes"":""Vertiv rack PDU pages direct buyers to request quotes via 'FIND SALES CONTACT' forms and contact-sales/quotation requests instead of listing prices; no numeric price or range is disclosed anywhere in the evidence."",""range_low"":null,""disclosure"":""opaque"",""range_high"":null}","4","0.10953512500000001","20424"
"Vertiv Holdings","rd_capacity","inferred","""Vertiv is a NYSE-listed global critical-infrastructure vendor whose 2024 10-K and 2025 Annual Report document a broad power/thermal/IT product portfolio and continued investment in engineering and manufacturing capacity, including a new North American infrastructure solutions manufacturing facility.""","https://investors.vertiv.com/news/news-details/2024/Vertiv-Expands-North-American-Production-Capacity-with-New-Infrastructure-Solutions-Manufacturing-Facility/default.aspx","verified","""In its 2023 Annual Report, Vertiv Holdings Co disclosed that it increased its engineering, research and development (ER&D) spend by 8% versus the prior year as part of its innovation strategy.""","4","0.09838400000000001","21703"
"Vertiv Holdings","sales_cycle_length","inferred","""Weeks to several months (project-based B2B; longer for engineered-to-order and hyperscale deployments)""","","unknown","null","6","0.18777300000000002","33938"
"Vertiv Holdings","server_oem_integrator_relationships","inferred","[""NVIDIA""]","https://www.prnewswire.com/news-releases/from-vision-to-readiness-vertiv-collaborates-with-nvidia-to-advance-800-vdc-platform-designs-to-power-the-next-generation-of-ai-factories-302582190.html","unknown","null","7","0.2539535","941649"
